Artist,Song,Genre,Song ID,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Valence,,
Alice Phoebe Lou,Witches,indie pop,4CZgaNdobtnTfBevPBje0c,0.576,0.719,0.0583,0.0301,0.00000478,0.729,,
Bad Suns,Daft Pretty Boys,modern rock,41d2Q6DHcM20OdzynkRtvf,0.662,0.837,0.0582,0.0623,0,0.613,,
Billie Eilish,wish you were gay,pop,3Fj47GNK2kUF0uaEDgXLaD,0.853,0.351,0.241,0.39,0.00000938,0.282,,
Billie Eilish,I love you,pop,6CcJMwBtXByIz4zQLzFkKc,0.421,0.131,0.0382,0.952,0.00453,0.12,,
Blind Pilot,Packed Powder,indie folk,4JbKTG0iQ41As64aMNKkit,0.417,0.726,0.0291,0.0203,0.055,0.63,,
Bon Iver,For Emma,eau claire indie,0mP897I93DZwdgtjkSriwj,0.669,0.613,0.036,0.487,0.18,0.565,,
Bon Iver,Blood Bank,eau claire indie,7qUoDTmVj07qUf6ZBDhWKl,0.494,0.372,0.0331,0.964,0.0296,0.25,,
BORNS,Clouds,modern rock,03v70ZBxmcPX3RWAZMzqaW,0.644,0.478,0.0529,0.194,0.00376,0.496,,
BORNS,"10,000 Emrald Pools",modern rock,2pA4ip3VIEVcIa3qE02oAX,0.568,0.578,0.0404,0.00694,0.000353,0.555,,
BORNS,Electric Love,modern rock,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,0.0533,0.00543,0.00137,0.518,,
BORNS,Holy Ghost,modern rock,5ho74ZlMvEbyhFutCd8SGg,0.591,0.874,0.0562,0.00153,0.0000145,0.775,,
BORNS,Past Lives,modern rock,1Dr5JexwA15wmKe7Y7maA9,0.743,0.685,0.0975,0.0664,0.0000675,0.443,,
BORNS,Sweet Dreams,modern rock,0lgScP4Sc9teQbV8TBJac6,0.623,0.534,0.0315,0.0427,0.0000824,0.387,,
BORNS,Bye-by Darling,modern rock,63eoKDlvWp0aAFH8CJXoSG,0.384,0.495,0.0301,0.819,0.461,0.149,,
boy pablo,"Dance, Baby!",bedroom pop,5EV4bGHxVN0kHpcAFvgnTt,0.602,0.601,0.0411,0.037,0.0046,0.856,,
boy pablo,Everytime,bedroom pop,4zvHZWOGyL7WcmqHOgtGCW,0.431,0.663,0.0351,0.0249,0.0397,0.855,,
boy pablo,Losing You,bedroom pop,7mjOxXnZYbGtgjyX0hqaLs,0.597,0.771,0.0393,0.0112,0.0000048,0.811,,
Bright Eyes,First Day Of My Life,omaha indie,5OiaAaIMYlCZONyDBxqk4G,0.602,0.201,0.0362,0.915,0.0000828,0.385,,
Brotherkenzie,Utah,mineapolis indie,6RZqf37lR2vnJ2AiZFINtl,0.56,0.325,0.0314,0.954,0.00278,0.225,,
Bruno Major,Easily,pop,2k9N4caeCIJLOWwWwssrEM,0.772,0.256,0.0481,0.491,0.00612,0.357,,
Bruno Major,Nothing,pop,2IAR0DziHCjSu16gR4ihvy,0.555,0.27,0.0884,0.931,0.536,0.274,,
Bruno Major,Old Fashioned,pop,0j7sWqI2qyFaVSdcwzcb9N,0.74,0.242,0.0472,0.736,0.00156,0.331,,
Bruno Major,Places We Won't Walk,pop,30QNjcM3Q1GnLFIIJjWQL1,0.388,0.0859,0.0472,0.969,0.0000735,0.19,,
Cage the Elephant,Cigarette Daydreams,modern rock,2tznHmp70DxMyr2XhWLOW0,0.636,0.676,0.0263,0.0807,0,0.273,,
Cage the Elephant,Shake Me Down,modern rock,1Hb1IJ9bBCa6wo3fRtexnJ,0.457,0.613,0.0295,0.00463,0.000406,0.132,,
Cage the Elephant,Trouble,modern rock,5n0CTysih20NYdT2S0Wpe8,0.47,0.623,0.0302,0.392,0.000439,0.298,,
Cage the Elephant,Telescope,modern rock,0tkBOcK7oRVXQJY97zzSvr,0.589,0.481,0.0285,0.273,0.0000133,0.176,,
Christian Leave,Adult,indie pop,7aPVj4na1QheevNbrv5uwC,0.761,0.419,0.277,0.548,0.00000869,0.567,,
Clairo,Softly,bedroom pop,4PvbbMYL4fkToni5BLaYRb,0.759,0.436,0.0419,0.33,0.0113,0.782,,
Clairo,Bags,bedroom pop,6UFivO2zqqPFPoQYsEMuCc,0.742,0.546,0.0315,0.172,0.38,0.868,,
Clairo,4EVER,bedroom pop,5mIOsPuQdXchVY0jB5NO9Q,0.75,0.585,0.0285,0.049,0.00552,0.584,,
Clairo,Sofia,bedroom pop,7B3z0ySL9Rr0XvZEAjWZzM,0.744,0.629,0.039,0.598,0.00372,0.641,,
COIN,Talk Too Much,modern rock,4djIFfof5TpbSGRZUpsTXq,0.598,0.888,0.0807,0.00947,0,0.482,,
COIN,Malibu 1992,modern rock,0nMqu5vN44GNv8UOQxmBJK,0.559,0.32,0.0414,0.0644,0.132,0.497,,
COIN,Crash My Car,modern rock,0X5mtNbqxbiTYkwj0CQc2f,0.244,0.645,0.0456,0.00178,0.00574,0.529,,
Colony House,You Know It,stomp and holler,169pWCmfvVazzcL4EXFPgL,0.404,0.962,0.0978,0.0352,0,0.562,,
Conan Gray,Heather,bedroom pop,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,0.0333,0.584,0,0.27,,
Conan Gray,Maniac,bedroom pop,6KfoDhO4XUWSbnyKjNp9c4,0.628,0.639,0.0435,0.00162,0,0.439,,
Conan Gray,Comfort Crowd,bedroom pop,6uaBrivDHCaV0uBTiwHTUi,0.678,0.431,0.0326,0.163,0.00000194,0.404,,
Cults,Always Forever,indie surf,2enPRFda84VE2wtI8c86Uf,0.174,0.742,0.0485,0.00181,0.281,0.36,,
Dayglow,Hod Rod,austindie,0zePbRMJ9sd7wsZRlbPQua,0.707,0.767,0.0323,0.0279,0.000295,0.832,,
Dayglow,Can I Call you Tonight?,austindie,64lsIF5pw0sJY0gV5kz0RN,0.641,0.842,0.0292,0.132,0.91,0.5,,
Declan Mckenna,Brazil,indie pop,4sNG6zQBmtq7M8aeeKJRMQ,0.687,0.617,0.0287,0.0941,0.0000127,0.665,,
Declan Mckenna,Make Me Your Queen,indie pop,5QJuMhGWTUB4t9BqR7ndL3,0.491,0.666,0.0317,0.00146,0.00000129,0.26,,
Declan Mckenna,The Key to Life on Earth,indie pop,5B4eIZFVPiSqdsOpoe8Eda,0.519,0.941,0.0647,0.000922,0.00000166,0.594,,
Declan Mckenna,Why Do You Feel So Down,indie pop,5Bge1Dsqjc14hhGguYML5w ,0.558,0.909,0.0406,0.0567,0,0.452,,
Declan Mckenna,Emily,modern rock,0nrjInsps8kxi3wEMv81GQ,0.556,0.663,0.0299,0.00648,0.0000819,0.306,,
Declan Mckenna,My House,modern rock,5kuSneVOTmvanncpK3RZcl,0.77,0.816,0.0536,0.719,0.000714,0.868,,
